OBJECTID,Join_Count,TARGET_FID,PERMIT_YEAR,Class,PROJECT_DESCRIPTION,FINALED_DATE,CONTRACTOR,TOTAL_PAID,SUBAREA,NEIGHBORHOOD_AREA,Lat,Lon,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng
81,1,81,2017,Single family,A Single Family Residential Addition to Existing Structure Project Installing {1-Vehicle Charging Station},2017-09-14,NORTHWEST ELECTRIC & SOLAR,112,Richards Valley,Woodridge,47.589586,-122.171167,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
82,1,82,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2011-09-07,PRIME ELECTRIC INC,98,Southwest Bellevue,West Bellevue,47.589955,-122.193782,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
83,1,83,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-10-20,PUGET SOUND SOLAR LLC,110,Newcastle,Cougar Mountain / Lakemont,47.542043,-122.125152,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
84,1,84,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-07,PUGET SOUND SOLAR LLC,105,Newcastle,Eastgate,47.567639,-122.128627,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
85,1,85,2017,Single family,A Single Family Residential Addition to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-13,SHORELINE ELECTRIC INC,112,Bridle Trails,Bridle Trails,47.638425,-122.174335,53,033,023700,53033023700,237,Census Tract 237,G5020,S,7530638,18305,+47.6327201,-122.1733574,44098.86056
86,1,86,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-26,ARTISAN ELECTRIC INC,112,Wilburton/ne 8th St,Wilburton,47.616468,-122.165005,53,033,023601,53033023601,236.01,Census Tract 236.01,G5020,S,4602566,0,+47.6104586,-122.1719138,29387.58056
87,1,87,2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2014-01-07,Centaur Electric LLC,105,Newport Hills,Newport,47.559334,-122.180648,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
88,1,88,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage and electrical room, installation of a electric vehicle charging station",2014-05-22,PUGET SOUND SOLAR LLC,106,Newcastle,Eastgate,47.56866,-122.125827,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
89,1,89,2013,Single family,A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station),2013-09-05,ACTIVE ENGINEERING,105,Bridle Trails,Bridle Trails,47.650306,-122.157388,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
90,1,90,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-07-14,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Somerset,47.546196,-122.141099,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
91,1,91,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station) **Add on 2 added/altered branch circuits, 1 125 amp sub-panel",2015-06-16,S M E INC OF SEATTLE,108,Newcastle,Cougar Mountain / Lakemont,47.563321,-122.131147,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
92,1,92,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-04-20,ELECTRI-CITY INC,112,Newport Hills,Newport,47.547501,-122.193322,53,033,024702,53033024702,247.02,Census Tract 247.02,G5020,S,6392898,797574,+47.5396242,-122.1897607,42350.3129
93,1,93,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-01-14,PUGET SOUND SOLAR LLC,108,North Bellevue,Northwest Bellevue,47.623279,-122.19276,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
94,1,94,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-14,S M E INC OF SEATTLE,112,Newcastle,Cougar Mountain / Lakemont,47.540856,-122.111245,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
95,1,95,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Installing dedicated circuit for vehical charging station",2015-01-14,ZAPP ELECTRIC OF SEATTLE LLC,108,Factoria,Newport,47.568889,-122.190422,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
96,1,96,2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-10-06,OHM ELECTRICAL CONTRACTING LLC,112,Newcastle,Cougar Mountain / Lakemont,47.542918,-122.121758,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
97,1,97,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charging Station Install,2011-04-18,PRIME ELECTRIC INC,98,Bridle Trails,Bridle Trails,47.646315,-122.161317,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
98,1,98,2014,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-24,OWNER,106,North Bellevue,Northwest Bellevue,47.624555,-122.207036,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
99,1,99,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, EVSE",2013-01-02,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Newport Hills,Newport,47.54486,-122.190594,53,033,024702,53033024702,247.02,Census Tract 247.02,G5020,S,6392898,797574,+47.5396242,-122.1897607,42350.3129
100,1,100,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, Install 50 Amp Outlet",2012-12-05,SOLARCITY CORPORATION,102,Factoria,Newport,47.57006,-122.190749,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
101,1,101,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-21,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.556789,-122.124107,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
102,1,102,2015,Single family,"Installation of 14.56 kW solar photovoltaic system to be installed on roof of residence. Installation will consist of 52 Itek Energy 280W solar panels, 1 Itek Energy PVI-7600TL, and 1 Itek Energy PVI-5200TL. In addition, one circuit will be installed for possible future electric vehicle charging station.",2015-08-27,PUGET SOUND SOLAR LLC,378,Newcastle,Cougar Mountain / Lakemont,47.561649,-122.134206,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
103,1,103,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-15,24/7 ELECTRICAL COMPANY,108,Factoria,Newport,47.571662,-122.178912,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
104,1,104,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-05-05,ARTISAN ELECTRIC INC,112,North Bellevue,Northwest Bellevue,47.625081,-122.206328,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
105,1,105,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage",2013-02-04,PUGET SOUND SOLAR LLC,105,Wilburton/ne 8th St,Wilburton,47.603067,-122.168031,53,033,023601,53033023601,236.01,Census Tract 236.01,G5020,S,4602566,0,+47.6104586,-122.1719138,29387.58056
106,1,106,2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station} A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station} A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-29,NORTHWEST ELECTRIC & SOLAR,112,Crossroads,Crossroads,47.626724,-122.128762,53,033,023202,53033023202,232.02,Census Tract 232.02,G5020,S,1470662,0,+47.6179632,-122.1270727,18211.66833
107,1,107,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-11-30,SEAHURST ELECTRIC INC,112,Newcastle,Somerset,47.551069,-122.140411,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
108,1,108,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE# 328005), Install 1450R for EV Charging",2014-06-05,SEAHURST ELECTRIC INC,58,Southeast Bellevue,Lake Hills,47.596075,-122.134508,53,033,023401,53033023401,234.01,Census Tract 234.01,G5020,S,3740203,0,+47.5867489,-122.1467322,29383.38189
109,1,109,2017,Single family,"Added/Altered branch circuits, light fixtures, receptacles, switches, Vehicle charging station - Work part of new owners remodel (Post Issuance revision on BS)",2017-11-27,SCHULTZ ELECTRIC LLC,378,Southwest Bellevue,West Bellevue,47.581779,-122.188604,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
110,1,110,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-05-06,HILL ELECTRIC CORPORATION,108,Bridle Trails,Bridle Trails,47.649518,-122.14976,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
111,1,111,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE, 50 AMP / 240 V APPLIANCE OUTLET",2013-02-27,BEL-RED ELECTRIC SERVICE INC,105,North Bellevue,Northwest Bellevue,47.634282,-122.207059,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
112,1,112,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-02,A&R Solar,108,Southeast Bellevue,West Lake Sammamish,47.601663,-122.112182,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
113,1,113,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-05-02,PRIME ELECTRIC INC,98,Northeast Bellevue,Northeast Bellevue,47.621982,-122.108243,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
114,1,114,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage/electrical room, evse",2012-10-11,PUGET SOUND SOLAR LLC JEREMY JAMES SMITHSON,102,Southwest Bellevue,West Bellevue,47.595522,-122.201906,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
115,1,115,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station,2011-04-06,PRIME ELECTRIC INC,98,Richards Valley,Woodridge,47.600195,-122.177083,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
116,1,116,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-12-11,ELECTRI-CITY INC,108,Newcastle,Cougar Mountain / Lakemont,47.551868,-122.132614,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
117,1,117,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), work will be done in the inside of the home",2013-11-01,PUGET SOUND SOLAR LLC,105,Northeast Bellevue,Northeast Bellevue,47.639031,-122.114117,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
118,1,118,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-10-30,NORTHWEST ELECTRIC & SOLAR,108,Southeast Bellevue,West Lake Sammamish,47.594094,-122.11174,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
119,1,119,2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-05-10,BELLEVUE ELECTRIC INC,112,Newport Hills,Newport,47.553533,-122.172699,53,033,025001,53033025001,250.01,Census Tract 250.01,G5020,S,3531217,28798,+47.5380627,-122.1693928,39024.04961
120,1,120,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Range or Oven, 2 Added or Altered Branch Circuits), Garage of Home, Could not select car charger and range.",2015-05-11,Wickman Electric,228,Northeast Bellevue,Northeast Bellevue,47.632293,-122.118128,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
121,1,121,2017,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2017-04-03,IN-HOUSE ELECTRICAL SRVCS INC,112,Northeast Bellevue,Northeast Bellevue,47.615703,-122.114828,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
122,1,122,2012,Single family,Install vehicle charging station.,2012-12-21,APPLE STATE ELECTRIC INC,102,Northeast Bellevue,West Lake Sammamish,47.615206,-122.103156,53,033,023000,53033023000,230,Census Tract 230,G5020,S,3286160,2508903,+47.6205810,-122.1031787,42037.02737
123,1,123,2012,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-07-01,GREENWOOD-PHINNEY ELECT CO INC,102,Southwest Bellevue,West Bellevue,47.600881,-122.205618,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
124,1,124,2015,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2015-02-11,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.588943,-122.202731,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
125,1,125,2016,Multifamily,Vehicle charging station.,2016-06-13,ABM Elect & Lighting Sol Inc,316,North Bellevue,Northwest Bellevue,47.637199,-122.198818,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
126,1,126,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger install,2011-06-22,PRIME ELECTRIC INC,98,Newcastle,West Lake Sammamish,47.585504,-122.111354,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
127,1,127,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), garage, electrical room",2014-05-08,PUGET SOUND SOLAR LLC,106,Bridle Trails,Bridle Trails,47.644079,-122.16829,53,033,023700,53033023700,237,Census Tract 237,G5020,S,7530638,18305,+47.6327201,-122.1733574,44098.86056
128,1,128,2015,Single family,Vehicle Charging Station,2015-07-14,NORTHWEST ELECTRIC & SOLAR,108,Newcastle,Cougar Mountain / Lakemont,47.548472,-122.121439,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
129,1,129,2016,Multifamily,Add car chargers on parking levelP7,2017-04-18,PRIME ELECTRIC INC,1343,Downtown,Downtown,47.616195,-122.193582,53,033,023804,53033023804,238.04,Census Tract 238.04,G5020,S,1220954,0,+47.6132805,-122.1984660,17215.47321
130,1,130,2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (2 Added or Altered Branch Circuits), garage, 100 amp 240 volt car charger circuit",2016-03-29,123 Electric Service Inc,86,Newcastle,Cougar Mountain / Lakemont,47.550537,-122.104157,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
131,1,131,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-05-05,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.556726,-122.131737,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
132,1,132,2016,Single family,Vehicle charging station,2016-10-04,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Cougar Mountain / Lakemont,47.551575,-122.116706,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
133,1,133,2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-09,NORTHWEST ELECTRIC & SOLAR,115,Southwest Bellevue,West Bellevue,47.581306,-122.19656,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
134,1,134,2016,Single family,Install vehicle charging station.,2016-08-12,LUMENKRAFT ELECTRIC LLC,110,Richards Valley,Woodridge,47.588369,-122.171207,53,033,023500,53033023500,235,Census Tract 235,G5020,S,2273132,0,+47.5913824,-122.1728599,21843.19463
135,1,135,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-03,SEATOWN ELECTRIC CORP,110,Newcastle,West Lake Sammamish,47.583323,-122.11404,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
136,1,136,2013,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2014-04-22,ACTIVE ENGINEERING,105,North Bellevue,Northwest Bellevue,47.63389,-122.204814,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
137,1,137,2012,Single family,Vehicle Charging Station.,2012-06-05,LADY ELECTRIC LLC,102,Wilburton/ne 8th St,Crossroads,47.62373,-122.145301,53,033,023603,53033023603,236.03,Census Tract 236.03,G5020,S,2028190,0,+47.6173977,-122.1508058,19036.74562
138,1,138,2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, EV Charger Installation",2011-10-26,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.544059,-122.112555,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
139,1,139,2016,Single family,Install vehicle charging station,2016-05-18,NORTHWEST ELECTRIC & SOLAR,110,Factoria,Somerset,47.552996,-122.150147,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
140,1,140,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage, Add Receptacle for EV charging (SE#327395)",2014-04-11,SEAHURST ELECTRIC INC,58,North Bellevue,Northwest Bellevue,47.637429,-122.209192,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
141,1,141,2016,Single family,Install vehicle charging station,2016-05-10,NORTHWEST ELECTRIC & SOLAR,110,Southwest Bellevue,West Bellevue,47.606611,-122.209876,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
142,1,142,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), garage",2014-08-01,ACTIVE ENGINEERING,105,Newcastle,Somerset,47.548375,-122.140491,53,033,024903,53033024903,249.03,Census Tract 249.03,G5020,S,4963596,0,+47.5508498,-122.1412595,43634.24626
143,1,143,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV charging station in garage,2011-03-30,PRIME ELECTRIC INC,98,Newcastle,West Lake Sammamish,47.580066,-122.112982,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
144,1,144,2011,Single family,A Single-Family Alteration project installing { Receptacles }  - Single 120V receptacle installation for EV Charger,2011-08-25,PRIME ELECTRIC INC,53,Wilburton/ne 8th St,Lake Hills,47.613492,-122.146805,53,033,023603,53033023603,236.03,Census Tract 236.03,G5020,S,2028190,0,+47.6173977,-122.1508058,19036.74562
145,1,145,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-08-03,Washington Electric LLC,108,Northeast Bellevue,Northeast Bellevue,47.615688,-122.117782,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
146,1,146,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE# 328195), Install 100A circuit for Tesla Ev Charging",2014-06-16,SEAHURST ELECTRIC INC,58,Southeast Bellevue,West Lake Sammamish,47.598947,-122.110549,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
147,1,147,2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage, Install 50A outlet for EV Charging (SE#327635)",2014-07-14,SEAHURST ELECTRIC INC,58,North Bellevue,Northwest Bellevue,47.61876,-122.210719,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
148,1,148,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-11,PUGET SOUND SOLAR LLC,105,Newcastle,Cougar Mountain / Lakemont,47.564028,-122.129054,53,033,024902,53033024902,249.02,Census Tract 249.02,G5020,S,2029984,0,+47.5653697,-122.1337183,27975.81893
149,1,149,2011,Multifamily,Install 1 vehicle charging station.,2013-07-01,C & R ELECTRIC INC,178,Wilburton/ne 8th St,Crossroads,47.616783,-122.153605,53,033,023603,53033023603,236.03,Census Tract 236.03,G5020,S,2028190,0,+47.6173977,-122.1508058,19036.74562
150,1,150,2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2011-08-19,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.559995,-122.111743,53,033,025003,53033025003,250.03,Census Tract 250.03,G5020,S,6352436,0,+47.5567201,-122.1081035,47155.78558
151,1,151,2014,Single family,"Single family residence addition to existing structure including ( 1 added or altered branch circuit, 1 vehicle charging station, 3 underground conduits)",2014-12-24,HI TEK ELECTRIC INC,58,Southwest Bellevue,West Bellevue,47.603164,-122.211192,53,033,023900,53033023900,239,Census Tract 239,G5020,S,4649863,4222583,+47.5830719,-122.2002301,60367.62227
152,1,152,2015,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station, 1 Added or Altered Branch Circuits), Parking Lot, EV Charging station",2015-08-25,NORTHWEST EDISON INC,240,Eastgate,West Lake Sammamish,47.576788,-122.126236,53,033,023403,53033023403,234.03,Census Tract 234.03,G5020,S,3308890,1972210,+47.5817847,-122.1151458,37216.96137
153,1,153,2016,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Parking Garage Space #P3-112, Wire for car charger",2016-05-05,BOYER ELECTRIC COMPANY INC,115,Downtown,Downtown,47.614715,-122.198903,53,033,023804,53033023804,238.04,Census Tract 238.04,G5020,S,1220954,0,+47.6132805,-122.1984660,17215.47321
154,1,154,2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-22,NORTHWEST ELECTRIC & SOLAR,108,Newport Hills,Newport,47.553832,-122.183617,53,033,024701,53033024701,247.01,Census Tract 247.01,G5020,S,2739207,0,+47.5614775,-122.1808594,30173.28144
155,1,155,2017,Single family,A Single Family Residential New Structure Electrical Project Involving (2 Vehicle Charging Station),2017-09-05,POLARITY ELECTRIC INC,112,Newcastle,Cougar Mountain / Lakemont,47.548004,-122.109559,53,033,025006,53033025006,250.06,Census Tract 250.06,G5020,S,22393618,0,+47.5269219,-122.0986860,70001.76379
156,1,156,2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-04-19,OWNER,110,Southeast Bellevue,West Lake Sammamish,47.591716,-122.112047,53,033,023100,53033023100,231,Census Tract 231,G5020,S,2531810,2665265,+47.6067132,-122.1114759,42893.63106
157,1,157,2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE INTERIOR, APPLIANCE CIRCUIT  90 A/ 240 V",2013-04-26,BEL-RED ELECTRIC SERVICE INC,102,North Bellevue,Northwest Bellevue,47.618068,-122.210541,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
158,1,158,2010,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - install EV charging dock in garage,2011-01-24,POINTER ELECTRIC INC,59,Crossroads,Northeast Bellevue,47.63277,-122.127009,53,033,022901,53033022901,229.01,Census Tract 229.01,G5020,S,1484063,0,+47.6366077,-122.1183943,19264.04212
159,1,159,2016,Single family,Vehicle charging station,2016-10-21,NORTHWEST ELECTRIC & SOLAR,110,North Bellevue,Northwest Bellevue,47.619993,-122.209179,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
160,1,160,2013,Single family,Vehicle charging station.,2013-08-15,Volt-Tech Electrical Services,105,North Bellevue,Northwest Bellevue,47.626545,-122.208386,53,033,024000,53033024000,240,Census Tract 240,G5020,S,4669788,239079,+47.6273756,-122.2042081,41624.79944
161,1,161,2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-07,PUGET SOUND SOLAR LLC,105,Newport Hills,Newport,47.54243,-122.17802,53,033,024702,53033024702,247.02,Census Tract 247.02,G5020,S,6392898,797574,+47.5396242,-122.1897607,42350.3129
162,1,162,2015,Single family,"A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station), exterior feeder run, interior sub panel, new 100 amp sub panel, circuit 50 amp/ 240 v",2015-06-26,BEL-RED ELECTRIC SERVICE INC,108,Bridle Trails,Bridle Trails,47.643749,-122.155335,53,033,022801,53033022801,228.01,Census Tract 228.01,G5020,S,4865268,0,+47.6464310,-122.1532208,31441.82175
