PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-05-05,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.556726,-122.131737
2016,Single family,Vehicle charging station,2016-10-04,NORTHWEST ELECTRIC & SOLAR,110,Newcastle,Cougar Mountain / Lakemont,47.551575,-122.116706
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-09,NORTHWEST ELECTRIC & SOLAR,115,Southwest Bellevue,West Bellevue,47.581306,-122.19656
2016,Single family,Install vehicle charging station.,2016-08-12,LUMENKRAFT ELECTRIC LLC,110,Richards Valley,Woodridge,47.588369,-122.171207
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-03,SEATOWN ELECTRIC CORP,110,Newcastle,West Lake Sammamish,47.583323,-122.11404
2013,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2014-04-22,ACTIVE ENGINEERING,105,North Bellevue,Northwest Bellevue,47.63389,-122.204814
2012,Single family,Vehicle Charging Station.,2012-06-05,LADY ELECTRIC LLC,102,Wilburton/ne 8th St,Crossroads,47.62373,-122.145301
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Garage, EV Charger Installation",2011-10-26,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.544059,-122.112555
2016,Single family,Install vehicle charging station,2016-05-18,NORTHWEST ELECTRIC & SOLAR,110,Factoria,Somerset,47.552996,-122.150147
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage, Add Receptacle for EV charging (SE#327395)",2014-04-11,SEAHURST ELECTRIC INC,58,North Bellevue,Northwest Bellevue,47.637429,-122.209192
2016,Single family,Install vehicle charging station,2016-05-10,NORTHWEST ELECTRIC & SOLAR,110,Southwest Bellevue,West Bellevue,47.606611,-122.209876
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), garage",2014-08-01,ACTIVE ENGINEERING,105,Newcastle,Somerset,47.548375,-122.140491
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV charging station in garage,2011-03-30,PRIME ELECTRIC INC,98,Newcastle,West Lake Sammamish,47.580066,-122.112982
2011,Single family,A Single-Family Alteration project installing { Receptacles }  - Single 120V receptacle installation for EV Charger,2011-08-25,PRIME ELECTRIC INC,53,Wilburton/ne 8th St,Lake Hills,47.613492,-122.146805
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-08-03,Washington Electric LLC,108,Northeast Bellevue,Northeast Bellevue,47.615688,-122.117782
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE# 328195), Install 100A circuit for Tesla Ev Charging",2014-06-16,SEAHURST ELECTRIC INC,58,Southeast Bellevue,West Lake Sammamish,47.598947,-122.110549
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage, Install 50A outlet for EV Charging (SE#327635)",2014-07-14,SEAHURST ELECTRIC INC,58,North Bellevue,Northwest Bellevue,47.61876,-122.210719
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-11,PUGET SOUND SOLAR LLC,105,Newcastle,Cougar Mountain / Lakemont,47.564028,-122.129054
2011,Multifamily,Install 1 vehicle charging station.,2013-07-01,C & R ELECTRIC INC,178,Wilburton/ne 8th St,Crossroads,47.616783,-122.153605
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2011-08-19,PRIME ELECTRIC INC,98,Newcastle,Cougar Mountain / Lakemont,47.559995,-122.111743
2014,Single family,"Single family residence addition to existing structure including ( 1 added or altered branch circuit, 1 vehicle charging station, 3 underground conduits)",2014-12-24,HI TEK ELECTRIC INC,58,Southwest Bellevue,West Bellevue,47.603164,-122.211192
2015,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station, 1 Added or Altered Branch Circuits), Parking Lot, EV Charging station",2015-08-25,NORTHWEST EDISON INC,240,Eastgate,West Lake Sammamish,47.576788,-122.126236
2016,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Parking Garage Space #P3-112, Wire for car charger",2016-05-05,BOYER ELECTRIC COMPANY INC,115,Downtown,Downtown,47.614715,-122.198903
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-22,NORTHWEST ELECTRIC & SOLAR,108,Newport Hills,Newport,47.553832,-122.183617
2017,Single family,A Single Family Residential New Structure Electrical Project Involving (2 Vehicle Charging Station),2017-09-05,POLARITY ELECTRIC INC,112,Newcastle,Cougar Mountain / Lakemont,47.548004,-122.109559
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-04-19,OWNER,110,Southeast Bellevue,West Lake Sammamish,47.591716,-122.112047
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, GARAGE INTERIOR, APPLIANCE CIRCUIT  90 A/ 240 V",2013-04-26,BEL-RED ELECTRIC SERVICE INC,102,North Bellevue,Northwest Bellevue,47.618068,-122.210541
2010,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - install EV charging dock in garage,2011-01-24,POINTER ELECTRIC INC,59,Crossroads,Northeast Bellevue,47.63277,-122.127009
2016,Single family,Vehicle charging station,2016-10-21,NORTHWEST ELECTRIC & SOLAR,110,North Bellevue,Northwest Bellevue,47.619993,-122.209179
2013,Single family,Vehicle charging station.,2013-08-15,Volt-Tech Electrical Services,105,North Bellevue,Northwest Bellevue,47.626545,-122.208386
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-03-07,PUGET SOUND SOLAR LLC,105,Newport Hills,Newport,47.54243,-122.17802
2015,Single family,"A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station), exterior feeder run, interior sub panel, new 100 amp sub panel, circuit 50 amp/ 240 v",2015-06-26,BEL-RED ELECTRIC SERVICE INC,108,Bridle Trails,Bridle Trails,47.643749,-122.155335
2017,Single family,Vehicle charging station,2017-03-13,NORTHWEST ELECTRIC & SOLAR,112,Southwest Bellevue,West Bellevue,47.590432,-122.205467
2015,Single family,Vehicle Charging Station,2015-12-18,NORTHWEST ELECTRIC & SOLAR,108,North Bellevue,Northwest Bellevue,47.63268,-122.197203
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-09-21,QUEEN ANNE ELECTRIC LLC,112,Factoria,Somerset,47.560269,-122.145652
2010,Single family,A Single-Family Alteration project installing { Receptacles }  - JOB#2761 - INSTALL EV CHARGING STATION,2010-12-21,EVERGREEN POWER SYSTEMS INC,87,Southwest Bellevue,West Bellevue,47.598097,-122.194787
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-17,NORTHWEST ELECTRIC & SOLAR,112,Downtown,Downtown,47.610174,-122.205594
2015,Single family,Vehicle Charging Station,2017-01-17,NORTHWEST ELECTRIC & SOLAR,108,North Bellevue,Northwest Bellevue,47.636061,-122.202175
2017,Single family,A Single Family Residential Addition to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-02,NORTHWEST ELECTRIC & SOLAR,112,Newcastle,Cougar Mountain / Lakemont,47.560245,-122.129013
2014,Single family,Install 240V plug for car charger.,2015-01-05,OWNER,106,Northeast Bellevue,Northeast Bellevue,47.622868,-122.092181
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-01-08,SEATOWN ELECTRIC CORP,112,Newcastle,Cougar Mountain / Lakemont,47.554414,-122.133801
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-06-26,PUGET SOUND SOLAR LLC,108,Southeast Bellevue,Lake Hills,47.599591,-122.131751
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-16,SEAHURST ELECTRIC INC,115,Eastgate,Lake Hills,47.589366,-122.152698
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-11-08,SEAHURST ELECTRIC INC,110,Newcastle,Cougar Mountain / Lakemont,47.559423,-122.122044
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-04-15,PRIME ELECTRIC INC,98,Wilburton/ne 8th St,Lake Hills,47.612154,-122.149833
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (3 Added or Altered Branch Circuits), inside of home, install car charging circuit, bath fan heater",2016-01-12,SWITCH ELECTRIC LLC,204,Bridle Trails,Bridle Trails,47.649678,-122.155535
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-30,ELECTRI-CITY INC,110,Northeast Bellevue,Northeast Bellevue,47.61953,-122.11185
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-16,SEATOWN ELECTRIC CORP,115,Southwest Bellevue,West Bellevue,47.597497,-122.209948
2016,Single family,Vehicle charging station,2016-10-25,NORTHWEST ELECTRIC & SOLAR,110,Southeast Bellevue,Lake Hills,47.597075,-122.139144
2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station) **add on: replace the meter and reseed the existing panel,2014-03-14,Exact Electric LLC,106,Newcastle,Eastgate,47.569339,-122.14184
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-07-06,ARTISAN ELECTRIC INC,110,Crossroads,Crossroads,47.623547,-122.138389
2014,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-25,NORTHWEST ELECTRIC & SOLAR,106,Newcastle,Cougar Mountain / Lakemont,47.543969,-122.119174
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-10-20,ACTIVE ENGINEERING,112,Newcastle,Cougar Mountain / Lakemont,47.559624,-122.129789
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Involving (1 Vehicle Charging Station), outside garage",2014-01-10,PUGET SOUND SOLAR LLC,105,Eastgate,Eastgate,47.574393,-122.125051
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Installation,2012-02-13,PRIME ELECTRIC INC,98,Bridle Trails,Bridle Trails,47.653379,-122.160191
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-12-04,SEATOWN ELECTRIC CORP,112,Southwest Bellevue,West Bellevue,47.598302,-122.201834
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charger Install,2011-06-01,PRIME ELECTRIC INC,98,Southeast Bellevue,Lake Hills,47.609048,-122.156468
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-29,SEATOWN ELECTRIC CORP,112,Southwest Bellevue,West Bellevue,47.600753,-122.194982
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Car Charging Station Install,2011-04-25,PRIME ELECTRIC INC,98,Southeast Bellevue,Lake Hills,47.60153,-122.145499
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-03-24,ARTISAN ELECTRIC INC,112,Southwest Bellevue,West Bellevue,47.5961,-122.199105
2014,Multifamily,"A Multifamily Residential Alteration to Existing Structure Electrical Project Involving (2 Vehicle Charging Station), 1144728 - (2) EV chargers near garage entry",2016-07-12,PRIME ELECTRIC INC,282,Downtown,Downtown,47.619273,-122.196948
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-14,LUKE ELECTRIC LLC,112,Newcastle,West Lake Sammamish,47.571164,-122.108661
2011,Single family,A Single-Family Replacement project installing { Added or Altered Branch Circuits }  - Installation of new Electric Vehicle Charging Station,2011-05-17,PRIME ELECTRIC INC,98,Northeast Bellevue,Northeast Bellevue,47.62557,-122.109319
2017,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-02,QUEEN ANNE ELECTRIC LLC,112,Newcastle,Cougar Mountain / Lakemont,47.557787,-122.130443
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage",2015-07-07,WEST SEATTLE NATRL ENERGY LLC,108,Eastgate,West Lake Sammamish,47.579422,-122.118629
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, in garage, EVSE",2013-03-08,PUGET SOUND SOLAR LLC,105,North Bellevue,Northwest Bellevue,47.635012,-122.20382
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-06-15,ELECTRI-CITY INC,110,North Bellevue,Northwest Bellevue,47.623857,-122.209504
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, Will mount EVSE next to panel in garage",2013-03-22,LADY ELECTRIC LLC,105,Bridle Trails,Bridle Trails,47.633736,-122.150859
2015,Multifamily,"A Single Family Condo Unit Alteration to Existing Structure Electrical Project Involving (1 Receptacles, 1 Added or Altered Branch Circuits), Garage, Installation of electric car charging unit.",2016-07-19,SCOTTCO ELECTRIC INC,116,North Bellevue,Northwest Bellevue,47.610913,-122.208759
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-06-14,ACTIVE ENGINEERING,105,Newcastle,Cougar Mountain / Lakemont,47.551789,-122.115683
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2015-09-15,NORTHWEST ELECTRIC & SOLAR,108,Southwest Bellevue,West Bellevue,47.604646,-122.194315
2016,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2016-10-13,OWNER,110,North Bellevue,Northwest Bellevue,47.637891,-122.206447
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), GARAGE (SE#329045), INSTALL CIRCUIT FOR EV CHARGING",2014-09-18,SEAHURST ELECTRIC INC,62,North Bellevue,Northwest Bellevue,47.625377,-122.196258
2018,Single family,A Single Family Residential New Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-20,OWNER,115,Newcastle,Cougar Mountain / Lakemont,47.541592,-122.136277
2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-12-06,NORTHWEST ELECTRIC & SOLAR,112,Southeast Bellevue,West Lake Sammamish,47.592308,-122.112108
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,ELECTRI-CITY INC,110,Factoria,Newport,47.568888,-122.192348
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-06-25,SOLARCITY CORPORATION,105,Southeast Bellevue,Lake Hills,47.602601,-122.145989
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-08-24,ARTISAN ELECTRIC INC,112,Southwest Bellevue,West Bellevue,47.59662,-122.202759
2012,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, south exterior of home, EV charging station",2013-02-11,PUGET SOUND SOLAR LLC,102,Bridle Trails,Bridle Trails,47.653699,-122.153463
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), car charger location next to panel in garage, Home owners # 919.423.6742  contractor 206.571.0291",2015-01-16,Volt-Tech Electrical Services,106,Southwest Bellevue,West Bellevue,47.588369,-122.195207
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-21,NORTHWEST ELECTRIC & SOLAR,115,Northeast Bellevue,Northeast Bellevue,47.614065,-122.109062
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charging Station Install,2011-04-08,PRIME ELECTRIC INC,98,Factoria,Somerset,47.566633,-122.15779
2016,Single family,"1 Vehicle charging station, 1 Service change 200 amps",2016-02-29,CORE ELECTRIC LLC,110,Newport Hills,Newport,47.558741,-122.183223
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-10-06,NORTHWEST ELECTRIC & SOLAR,110,Northeast Bellevue,Northeast Bellevue,47.625482,-122.106829
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), EV charger",2016-01-12,PUGET SOUND SOLAR LLC,110,Factoria,Somerset,47.564175,-122.164865
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), garage",2016-02-25,ALL WIRE ELECTRIC INC,106,Southeast Bellevue,Lake Hills,47.590033,-122.130128
2016,Single family,Vehicle charging station,2017-03-13,NORTHWEST ELECTRIC & SOLAR,110,Bridle Trails,Bridle Trails,47.639914,-122.153606
2016,Single family,Vehicle charging station,2016-03-30,NORTHWEST ELECTRIC & SOLAR,110,North Bellevue,Northwest Bellevue,47.620448,-122.221118
2016,Single family,Install 11.97W PV System on roof ** add on 2-220 volt outlets for an EV charger.,2016-06-29,Solterra Systems,489,Factoria,Somerset,47.568396,-122.160843
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-10-25,BEL-RED ELECTRIC SERVICE INC,110,Factoria,Newport,47.552181,-122.195769
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-20,BRIGHT & RIGHT ELECT SRVS LLC,115,Richards Valley,Woodridge,47.592032,-122.167066
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-21,NORTHWEST ELECTRIC & SOLAR,115,Factoria,Newport,47.573399,-122.177894
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-11-28,24/7 ELECTRICAL COMPANY,115,Factoria,Somerset,47.548591,-122.151023
2014,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Added or Altered Branch Circuits), Garage (SE#329135), Install circuit for EV charging",2014-10-06,SEAHURST ELECTRIC INC,58,Factoria,Newport,47.567229,-122.189553
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-06-15,ELECTRI-CITY INC,110,Newcastle,Cougar Mountain / Lakemont,47.55269,-122.137504
2015,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-02-16,NORTHWEST ELECTRIC & SOLAR,108,Northeast Bellevue,Northeast Bellevue,47.620747,-122.096253
2013,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2013-02-21,PUGET SOUND SOLAR LLC,105,Newcastle,West Lake Sammamish,47.571883,-122.107885
2017,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station} A Single Family Residential Alteration to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-27,NORTHWEST ELECTRIC & SOLAR,112,North Bellevue,Northwest Bellevue,47.616365,-122.217889
2011,Single family,A Single-Family Alteration project installing { Added or Altered Branch Circuits }  - EV Charger Install,2011-08-22,PRIME ELECTRIC INC,98,North Bellevue,Northwest Bellevue,47.62834,-122.206665
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Garage, n/a, Both existing electrical panel and new EV charging station in Garage",2016-02-05,OWNER,110,Southeast Bellevue,Lake Hills,47.603577,-122.154851
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-05-31,SEATOWN ELECTRIC CORP,110,Newcastle,Cougar Mountain / Lakemont,47.552692,-122.102845
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-01-19,ELECTRI-CITY INC,110,Bridle Trails,Bridle Trails,47.648335,-122.150462
2011,Single family,"A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station}, garage",2011-12-29,MCKINSTRY ELECTRIC,98,Newcastle,West Lake Sammamish,47.586503,-122.112986
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,SEAHURST ELECTRIC INC,110,Newcastle,Cougar Mountain / Lakemont,47.561916,-122.107685
